CITY_NAME,Abriviation,CITY_MARKET_ID,WAC,
Lake Havasu City,HII,32132,81,
Lewiston,LWS,33127,83,
Burlington/Mount Vernon,MVW,33540,93,
Moses Lake,MWH,33546,93,
Newport,ONP,33890,92,
Cincinnati,LUK,33105,44,
Devils Lake,DVL,31447,66,
Sault Ste. Marie,CIU,31013,43,
Manteo,MEO,33246,36,
Marathon,MTH,33501,33,
Wolf Point,OLF,33862,84,
Salem,SLE,34871,92,
Burlington,BRL,30744,61,
Fort Dodge,FOD,31725,61,
Ironwood,IWD,32412,43,
Mason City,MCW,33211,61,
Brownwood,BWD,30817,74,
Ukiah,UKI,35458,91,
Rock Springs,RKS,34543,88,
Alamosa,ALS,30272,82,
Carlsbad,CNM,31085,86,
Greenville,GLH,31931,53,
Muscle Shoals,MSL,33484,51,
Gillette,GCC,31865,88,
Jamestown,JMS,32519,66,
Champaign/Urbana,CMI,31067,41,
Mammoth Lakes,MMH,33388,91,
Harrison,HRO,32207,71,
Massena,MSS,33490,22,
Silver City/Hurley,SVC,35051,86,
Westerly,WST,35855,15,
Rhinelander,RHI,34520,45,
Petaluma,UXK,35525,91,
Riverton/Lander,RIW,34534,88,
